NOMBRE_BARRIO,CANTIDAD
LA ESTACION BOSA,1555
LA ESTANCIA,3362
LA ESTANZUELA,2119
LA ESTRADA,2714
LA ESTRADITA,1363
LA ESTRELLITA,498
LA ESTRELLITA I,794
LA ESTRELLITA III,13
LA FAENA,2413
LA FAVORITA,1830
LA FISCALA,431
LA FISCALA NORTE,1063
LA FLORIDA OCCIDENTAL,52
LA FRAGUA,1189
LA FRAGUITA,1211
LA GAITANA,2215
LA GAITANA ORIENTAL,590
LA GIRALDA,1525
LA GLORIA OCCIDENTAL,1084
LA GLORIA ORIENTAL,2034
LA GRANJA,1868
LA GRANJA NORTE,183
LA HORTUA,8
LA HUERTA,103
LA INDEPENDENCIA,2025
LA LAGUNA FONTIBON,1430
LA LIBERIA,7590
LA LIBERTAD,2367
LA LOMITA,729
LA MACARENA,2401
LA MAGDALENA,846
LA MARIA,521
LA MARICHUELA,4119
LA MERCED,408
LA MERCED NORTE,608
LA ORQUIDEA,1
LA ORQUIDEA DE USME,428
LA PAMPA,172
LA PATRIA,797
LA PAZ,3390
LA PAZ BOSA,4046
LA PENA,293
LA PEPITA,4617
LA PERSEVERANCIA,1200
LA PEÑA RURAL,4
LA PEЁ RURAL,4
LA PICOTA,1603
LA PICOTA ORIENTAL,1148
LA PRADERA,2890
LA PRADERA NORTE,9526
LA PRIMAVERA I,615
LA REFORMA,783
LA REGADERA,213
LA REQUILINA,430
LA REQUILINA RURAL,140
LA REQUILINA RURAL II,1
LA RESURRECCION,1624
LA RESURRECCION I,593
LA RIVIERA,2429
LA SABANA,1703
LA SALLE,3342
LA SERENA,1085
LA SOLEDAD,4173
LA SOLEDAD NORTE,1681
LA TORRE,446
LA TRINIDAD,1382
LA UNION,90
LA UNION URBANO,45
LA URIBE,4151
LA VALVANERA,1342
LA VEGA SAN BERNARDINO,85
LA VICTORIA,1414
LAGO DE SUBA,1738
LAGO GAITAN,5169
LAGUNA VERDE,42
LAGUNITAS,357
LAGUNITAS URBANO,1559
LAS ACACIAS,5788
LAS ACACIAS RURAL,474
LAS AGUAS,1971
LAS AMERICAS,984
LAS ANIMAS,79
LAS AURAS,68
LAS BRISAS,3815
LAS CRUCES,2574
LAS DELICIAS,3484
LAS DOS AVENIDAS,4196
LAS FERIAS,1606
LAS FERIAS OCCIDENTAL,1971
LAS FLORES,6376
LAS GAVIOTAS,628
LAS GUACAMAYAS I,961
LAS GUACAMAYAS II,664
LAS GUACAMAYAS III,1207
LAS GUACAMAYAS IV,805
LAS LOMAS,1171
LAS MANAS,322
LAS MARGARITAS,18275
LAS MARGARITAS II III SEC.,1
LAS MERCEDES,1501
LAS MERCEDES I,356
LAS MERCEDES SUBA,2
LAS MERCEDES SUBA RURAL,162
LAS NAVETAS,2
LAS NIEVES,9564
LAS ORQUIDEAS,3095
LAS PALMAS,25
LAS SOPAS,63
LAS VEGAS,35
LAS VILLAS,2501
LAS VIOLETAS,260
LAS VIOLETAS RURAL,40
LECH WALESA,1160
LIBERTADOR,1496
LILIANA,14
LISBOA,10500
LLANO GRANDE,748
LOMBARDIA,4099
LOS ALAMOS,8553
LOS ALMENDROS,1436
LOS ALPES,1806
LOS ALPES SUR,769
LOS ANDES,4499
LOS ANGELES,3720
LOS ARRAYANES,139
LOS ARRAYANES II,517
LOS CEDROS,19930
LOS CEDROS ORIENTAL,2615
LOS CEREZOS,2490
LOS EJIDOS,5554
LOS LACHES,1075
LOS LAURELES,5995
LOS LAURELES I,306
LOS LAURELES II,1617
LOS LAURELES SUR ORIENTAL I,306
LOS LIBERTADORES,1580
LOS MOLINOS,1527
LOS NARANJOS,2073
LOS OLIVARES,286
LOS RIOS,108
LOS ROSALES,6855
LOS SAUCES,1426
LOS SOCHES,769
LOS TRES REYES,768
LOS TRES REYES I,784
LOURDES,908
LUCERO ALTO,1658
LUCERO DEL SUR,2004
LUIS CARLOS GALAN,830
LUSITANIA,167
MADELENA,4955
MANDALAY,1794
MARANDU,2723
MARCO FIDEL SUAREZ,1238
MARCO FIDEL SUAREZ I,2162
MARIA CANO,1160
MARIA CRISTINA,6963
MARIA PAZ,4003
MARLY,5363
MARRUECOS,4641
MARSELLA,6205
MAZUREN,18058
MEISSEN,1212
METROPOLIS,3127
MEXICO,810
MILLAN,1098
MIRADOR DEL NORTE,42
MIRANDELA,13747
MOCHUELO ALTO RURAL,389
MOCHUELO ALTO URBANO,52
MODELIA,4370
MODELIA OCCIDENTAL,5389
MODELO SUR,779
MOLINO RURAL,3
MOLINOS DE ORIENTE,155
MOLINOS DEL SUR,2267
MOLINOS NORTE,10697
MONACO,12881
MONTE CARLO,370
MONTEBELLO,780
MONTEBLANCO,2092
MONTES,1756
MONTEVIDEO,316
MORALBA,962
MORAVIA,159
MUEQUETA,770
MURILLO TORO,1282
MUZU,2301
NACIONES UNIDAS,1502
NARINO SUR,2331
NAZARETH,47
NAZARETH URBANO,32
NICOLAS DE FEDERMAN,6178
NIZA NORTE,1603
NIZA SUBA,3549
NIZA SUR,1452
NOMBRE_BARRIO,1
NORMANDIA,3071
NORMANDIA OCCIDENTAL,5821
NUESTRA SENORA DEL ROSARIO,1
NUEVA DELHI,868
NUEVA ESPERANZA,646
NUEVA GLORIA,917
NUEVA GRANADA,49
NUEVA GRANADA BOSA,1307
NUEVA TIBABUYES,5687
NUEVA YORK,447
NUEVA ZELANDIA,6525
NUEVO MUZU,2119
NUEVO SAN ANDRES,687
NUEVO TECHO,10885
OLARTE,3728
OLAYA,1078
ONCE DE NOVIEMBRE,636
ORQUIDEA DEL SUR,1
ORTEZAL,5609
OSORIO,2
OSORIO II,7
OSORIO III,10404
OSORIO X,17
OSORIO X URBANO,3046
OSORIO XII,6
OSORIO XXIII,3
OSPINA PEREZ,789
OSPINA PEREZ SUR,1033
PABLO VI NORTE,530
